YYYYMM,Value,Column_Order
200301,319368.611,7
200302,295274.648,7
200303,288216.527,7
200304,269942.421,7
200305,282606.713,7
200306,304355.325,7
200307,349041.563,7
200308,356772.348,7
200309,320491.79,7
200310,291352.768,7
200311,276442.562,7
200312,308163.736,7
200401,322656.926,7
200402,299938.288,7
200403,292000.812,7
200404,276308.891,7
200405,293020.951,7
200406,321851.346,7
200407,348863.849,7
200408,345395.998,7
200409,322373.088,7
200410,295212.907,7
200411,283555.079,7
200412,314771.349,7
200501,322027.091,7
200502,291197.733,7
200503,299355.929,7
200504,276073.116,7
200505,285775.987,7
200506,332524.361,7
200507,369850.995,7
200508,376918.485,7
200509,343196.654,7
200510,308588.751,7
200511,285769.853,7
200512,319705.089,7
200601,317439.932,7
200602,292303.871,7
200603,301873.284,7
200604,279530.671,7
200605,299480.887,7
200606,333940.563,7
200607,375668.161,7
200608,381929.799,7
200609,329359.566,7
200610,303708.466,7
200611,288989.897,7
200612,312620.353,7
200701,326361.475,7
200702,310810.407,7
200703,301737.585,7
200704,285197.188,7
200705,303073.833,7
200706,333312.692,7
200707,363692.155,7
200708,384928.595,7
200709,348050.691,7
200710,318395.299,7
200711,296421.814,7
200712,318249.163,7
200801,338211.36,7
200802,315862.69,7
200803,305763.248,7
200804,288593.27,7
200805,299240.189,7
200806,339983.022,7
200807,372806.668,7
200808,364047.223,7
200809,331963.826,7
200810,302497.438,7
200811,288196.351,7
200812,318996.019,7
200901,331993.181,7
200902,295888.872,7
200903,294058.924,7
200904,274989.648,7
200905,285043.098,7
200906,316044.334,7
200907,349353.218,7
200908,356665.597,7
200909,321620.368,7
200910,297911.315,7
200911,278659.212,7
200912,321505.326,7
201001,342963.059,7
201002,308604.088,7
201003,303395.043,7
201004,277142.747,7
201005,294339.892,7
201006,341930.378,7
201007,380707.67,7
201008,384066.985,7
201009,338963.739,7
201010,298445.093,7
201011,285420.36,7
201012,330772.563,7
201101,345360.498,7
201102,306945.777,7
201103,302449.862,7
201104,285583.992,7
201105,298673.664,7
201106,339888.474,7
201107,382827.694,7
201108,385012.074,7
201109,337446.196,7
201110,298636.679,7
201111,286123.179,7
201112,313652.128,7
201201,322643.12,7
201202,298001.234,7
201203,294743.764,7
201204,281294.464,7
201205,308265.606,7
201206,336586.474,7
201207,383490.218,7
201208,377208.151,7
201209,329457.482,7
201210,301881.854,7
201211,289518.39,7
201212,309215.538,7
201301,332978.436,7
201302,302559.16,7
201303,309225.545,7
201304,288857.746,7
201305,301006.32,7
201306,332169.703,7
201307,371731.872,7
201308,366261.573,7
201309,335240.33,7
201310,305991.626,7
201311,293212.153,7
201312,329095.295,7
201401,353280.813,7
201402,319623.892,7
201403,313811.02,7
201404,286669.228,7
201405,302616.946,7
201406,334167.679,7
201407,363878.791,7
201408,364303.936,7
201409,338525.981,7
201410,307895.734,7
201411,296700.944,7
201412,321799.187,7
201501,341880.691,7
201502,317471.762,7
201503,316455.015,7
201504,286118.891,7
201505,299268.357,7
201506,338294.258,7
201507,375894.381,7
201508,374747.736,7
201509,344999.845,7
201510,307597.508,7
201511,287600.24,7
201512,309831.226,7
201601,332810.057,7
201602,307883.427,7
201603,297387.395,7
201604,280416.905,7
201605,296086.318,7
201606,341636.622,7
201607,384738.652,7
201608,393864.587,7
201609,348412.38,7
201610,308029.901,7
201611,288584.677,7
201612,322447.408,7
201701,330288.031,7
201702,286694.281,7
201703,303087.585,7
201704,284002.886,7
201705,303325.339,7
201706,340520.965,7
201707,380321.716,7
201708,372796.652,7
201709,332910.243,7
201710,310851.547,7
201711,294796.564,7
201712,324719.554,7
201801,356864.175,7
201802,303752.042,7
201803,308503.915,7
201804,289475.256,7
201805,314970.73,7
201806,350092.876,7
201807,387998.432,7
201808,394190.304,7
201809,349253.47,7
201810,320961.442,7
201811,302466.393,7
201812,324559.959,7
201901,341137.223,7
201902,306741.444,7
201903,313573.946,7
201904,284810.318,7
201905,308216.885,7
201906,333189.372,7
201907,388892.413,7
201908,385402.245,7
201909,352494.826,7
201910,320034.141,7
201911,297539.753,7
201912,322388.234,7
202001,328246.135,7
202002,306425.243,7
202003,301752.7,7
202004,273132.424,7
202005,285627.076,7
202006,331355.301,7
202007,391577.954,7
202008,380979.969,7
202009,333682.753,7
202010,307869.372,7
202011,288228.154,7
202012,327499.941,7
202101,333976.54,7
202102,309816.292,7
202103,306272.666,7
202104,283328.798,7
202105,301122.301,7
202106,350199.279,7
202107,386625.933,7
202108,393627.952,7
202109,347832.302,7
202110,313613.351,7
202111,298838.876,7
202112,319535.145,7
202201,349826.942,7
202202,315502.813,7
202203,315469.132,7
202204,294494.476,7
202205,319357.802,7
202206,357724.53,7
202207,400116.192,7
202208,400275.207,7
202209,349696.653,7
202210,306670.405,7
202211,301509.255,7
202212,337632.857,7
202301,334977.53,7
202302,301439.807,7
202303,315200.15,7
202304,288526.738,7
202305,307391.512,7
202306,337243.927,7
