YYYYMM,Value,Column_Order
200301,179356.205,1
200302,155283.289,1
200303,153322.956,1
200304,140368.836,1
200305,148573.997,1
200306,160558.842,1
200307,180005.823,1
200308,183469.256,1
200309,163243.213,1
200310,157577.568,1
200311,156536.197,1
200312,174417.644,1
200401,178714.851,1
200402,159782.9,1
200403,152551.421,1
200404,139830.581,1
200405,155287.538,1
200406,165842.103,1
200407,179599.998,1
200408,176372.529,1
200409,162593.099,1
200410,155903.778,1
200411,155766.731,1
200412,174942.182,1
200501,175247.522,1
200502,154168.211,1
200503,161863.022,1
200504,141460.358,1
200505,152345.331,1
200506,173147.214,1
200507,184212.948,1
200508,185729.956,1
200509,169922.065,1
200510,160731.395,1
200511,157091.052,1
200512,176134.804,1
200601,167478.176,1
200602,157015.046,1
200603,159588.963,1
200604,139729.958,1
200605,155290.028,1
200606,167906.785,1
200607,185951.209,1
200608,187576.335,1
200609,159899.187,1
200610,159674.126,1
200611,157817.29,1
200612,171810.042,1
200701,174252.799,1
200702,162199.173,1
200703,158273.044,1
200704,144798.894,1
200705,155991.34,1
200706,171993.816,1
200707,183483.472,1
200708,188516.118,1
200709,167888.405,1
200710,160696.139,1
200711,157935.6,1
200712,172361.497,1
200801,181336.696,1
200802,165343.004,1
200803,159283.729,1
200804,145586.621,1
200805,153472.66,1
200806,169600.094,1
200807,185208.307,1
200808,179081.504,1
200809,159933.077,1
200810,150463.61,1
200811,153016.19,1
200812,166512.092,1
200901,170625.513,1
200902,139742.743,1
200903,134313.758,1
200904,124802.774,1
200905,130526.754,1
200906,146844.98,1
200907,156943.112,1
200908,161916.545,1
200909,135949.798,1
200910,138667.06,1
200911,135643.906,1
200912,165146.083,1
201001,171660.23,1
201002,151461.095,1
201003,142664.919,1
201004,125614.64,1
201005,141669.249,1
201006,163912.106,1
201007,177777.932,1
201008,175848.474,1
201009,147157.217,1
201010,130662.656,1
201011,133815.364,1
201012,165493.662,1
201101,169390.428,1
201102,137082.332,1
201103,133583.554,1
201104,123271.719,1
201105,135820.363,1
201106,156716.15,1
201107,175129.232,1
201108,169798.386,1
201109,139648.363,1
201110,125441.682,1
201111,120322.853,1
201112,131685.671,1
201201,127873.502,1
201202,112773.619,1
201203,104410.422,1
201204,95284.3,1
201205,114929.688,1
201206,130147.235,1
201207,159177.892,1
201208,150940.993,1
201209,124495.93,1
201210,119952.488,1
201211,127647.76,1
201212,132923.026,1
201301,136952.224,1
201302,122483.696,1
201303,129469.24,1
201304,110786.244,1
201305,118379.725,1
201306,137160.145,1
201307,151653.145,1
201308,148288.398,1
201309,132046.768,1
201310,119942.622,1
201311,119857.61,1
201312,140702.679,1
201401,155916.303,1
201402,142217.613,1
201403,135290.235,1
201404,108278.679,1
201405,117738.378,1
201406,136469.816,1
201407,148472.187,1
201408,147328.991,1
201409,125061.692,1
201410,110322.186,1
201411,118117.548,1
201412,123560.732,1
201501,131430.696,1
201502,126023.568,1
201503,107471.004,1
201504,88146.966,1
201505,103671.569,1
201506,124677.117,1
201507,138060.486,1
201508,133651.285,1
201509,117005.407,1
201510,95871.51,1
201511,86361.96,1
201512,88621.73,1
201601,112623.96,1
201602,91909.152,1
201603,71345.754,1
201604,71419.13,1
201605,80934.705,1
201606,115196.696,1
201607,135420.053,1
201608,134762.429,1
201609,113346.968,1
201610,98473.771,1
201611,86275.31,1
201612,117954.773,1
201701,114572.021,1
201702,86157.863,1
201703,88687.575,1
201704,80742.742,1
201705,92141.448,1
201706,106825.311,1
201707,127018.728,1
201708,118809.977,1
201709,97560.379,1
201710,89114.281,1
201711,90347.26,1
201712,105860.346,1
201801,118557.188,1
201802,81399.063,1
201803,79982.641,1
201804,72787.438,1
201805,84633.935,1
201806,100893.712,1
201807,114748.806,1
201808,114516.287,1
201809,95961.853,1
201810,86736.177,1
201811,92257.715,1
201812,99698.196,1
201901,100294.41,1
201902,79381.749,1
201903,77819.349,1
201904,59426.201,1
201905,71387.602,1
201906,78042.789,1
201907,100224.713,1
201908,93516.602,1
201909,85215.957,1
201910,66311.208,1
201911,75046.174,1
201912,72065.24,1
202001,64563.949,1
202002,55665.122,1
202003,50230.396,1
202004,40233.844,1
202005,46090.293,1
202006,64863.444,1
202007,89245.923,1
202008,90695.63,1
202009,67924.857,1
202010,59338.811,1
202011,60748.457,1
202012,78100.861,1
202101,80764.683,1
202102,87026.808,1
202103,61446.816,1
202104,53538.657,1
202105,63416.494,1
202106,86786.684,1
202107,101057.876,1
202108,101382.839,1
202109,78387.802,1
202110,62124.1,1
202111,56941.648,1
202112,59565.573,1
202201,86999.704,1
202202,70301.692,1
202203,60250.868,1
202204,54595.033,1
202205,61733.414,1
202206,72802.453,1
202207,85765.343,1
202208,84490.952,1
202209,64368.855,1
202210,53642.668,1
202211,55753.939,1
202212,72702.157,1
202301,59692.29,1
202302,45931.15,1
202303,49479.147,1
202304,39504.857,1
202305,43267.393,1
202306,57375.877,1
200301,12090.287,2
200302,10312.614,2
200303,9746.795,2
200304,8152.092,2
200305,7602.584,2
200306,10512.538,2
200307,11681.525,2
200308,11984.963,2
200309,8222.075,2
200310,8118.788,2
200311,6080.397,2
200312,9192.542,2
200401,14534.853,2
200402,8801.184,2
200403,9200.141,2
200404,8566.97,2
200405,9755.293,2
200406,10328.212,2
200407,11540.972,2
200408,10585.18,2
200409,8266.733,2
200410,7270.965,2
200411,6427.659,2
200412,9400.145,2
200501,11527.956,2
200502,6845.047,2
200503,7872.84,2
200504,6485.738,2
200505,6322.758,2
200506,10359.585,2
200507,12490.993,2
200508,14027.617,2
200509,11857.298,2
200510,9728.024,2
200511,6445.689,2
200512,12518.307,2
200601,5689.891,2
200602,4525.106,2
200603,3622.57,2
200604,4348.614,2
200605,4075,2
200606,5427.764,2
200607,6648.414,2
200608,7970.018,2
200609,4289.518,2
200610,4595.537,2
200611,4393.661,2
200612,4122.143,2
200701,5573.683,2
200702,8427.406,2
200703,4988.035,2
200704,4673.213,2
200705,4474.645,2
200706,5417.058,2
200707,5141.653,2
200708,6815.204,2
200709,4650.261,2
200710,4446.107,2
200711,2835.109,2
200712,3863.941,2
200801,4145.073,2
200802,3376.785,2
200803,2855.927,2
200804,3141.496,2
200805,3154.704,2
200806,4676.269,2
200807,3904.348,2
200808,3553.728,2
200809,3888.301,2
200810,3030.362,2
200811,3104.537,2
200812,4049.69,2
200901,5735.916,2
200902,2998.896,2
200903,3076.896,2
200904,2557.206,2
200905,2964.667,2
200906,2993.508,2
200907,3110.772,2
200908,3390.51,2
200909,2606.674,2
200910,2339.805,2
200911,1846.265,2
200912,2189.912,2
201001,4110.642,2
201002,2165.584,2
201003,2299.006,2
201004,2108.936,2
201005,2801.33,2
201006,3792.107,2
201007,4199.306,2
201008,3375.316,2
201009,2608.186,2
201010,2037.048,2
201011,1879.483,2
201012,3301.781,2
201101,3229.362,2
201102,2255.24,2
201103,2525.729,2
201104,2257.015,2
201105,2218.093,2
201106,2438.455,2
201107,3005.887,2
201108,2449.307,2
201109,2271.616,2
201110,1894.066,2
201111,1632.438,2
201112,2024.952,2
201201,2132.002,2
201202,1672.38,2
201203,1303.815,2
201204,1286.544,2
201205,1526.776,2
201206,1839.836,2
201207,2086.49,2
201208,1820.821,2
201209,1595.332,2
201210,1556.107,2
201211,1514.587,2
201212,1737.065,2
201301,2501.174,2
201302,1817.759,2
201303,1779.261,2
201304,1668.736,2
201305,2148.6,2
201306,2098.348,2
