YYYYMM,1_coal,2_petroleum,3_Natural_Gas,7_consumption,11_solar,12_wind
200301,179356.205,12090.287,42546.203,319368.611,13.217,632.339
200302,155283.289,10312.614,37040.553,295274.648,17.83,745.375
200303,153322.956,9746.795,39959.137,288216.527,50.027,1036.104
200304,140368.836,8152.092,38725.144,269942.421,60.309,1092.766
200305,148573.997,7602.584,42536.347,282606.713,67.962,1006.383
200306,160558.842,10512.538,47554.342,304355.325,90.682,1047.145
200307,180005.823,11681.525,69623.298,349041.563,62.407,953.396
200308,183469.256,11984.963,75772.889,356772.348,61.992,815.429
200309,163243.213,8222.075,52177.603,320491.79,55.857,895.054
200310,157577.568,8118.788,45022.385,291352.768,35.436,897.161
200311,156536.197,6080.397,38942.101,276442.562,14.031,961.433
200312,174417.644,9192.542,37403.387,308163.736,4.251,1104.881
200401,178714.851,14534.853,41225.862,322656.926,12.61,999.445
200402,159782.9,8801.184,43660.996,299938.288,10.862,1021.569
200403,152551.421,9200.141,43021.771,292000.812,52.929,1291.224
200404,139830.581,8566.97,45313.735,276308.891,56.902,1294.857
200405,155287.538,9755.293,54948.335,293020.951,81.776,1701.651
200406,165842.103,10328.212,57732.388,321851.346,87.876,1397.206
200407,179599.998,11540.972,71760.175,348863.849,82.103,1164.37
200408,176372.529,10585.18,70521.528,345395.998,72.846,1050.719
200409,162593.099,8266.733,60912.066,322373.088,60.632,1089.615
200410,155903.778,7270.965,50715.801,295212.907,33.521,1028.873
200411,155766.731,6427.659,43152.602,283555.079,15.342,932.203
200412,174942.182,9400.145,44206.362,314771.349,7.758,1172.009
200501,175247.522,11527.956,44878.568,322027.091,8.668,1131.569
200502,154168.211,6845.047,38991.53,291197.733,13.082,966.482
200503,161863.022,7872.84,45469.895,299355.929,38.157,1560.626
200504,141460.358,6485.738,45942.591,276073.116,58.263,1697.504
200505,152345.331,6322.758,48412.051,285775.987,81.153,1746.43
200506,173147.214,10359.585,68531.965,332524.361,88.476,1796.924
200507,184212.948,12490.993,88976.827,369850.995,72.329,1420.942
200508,185729.956,14027.617,92876.74,376918.485,75.845,1138.032
200509,169922.065,11857.298,67093.384,343196.654,61.108,1468.347
200510,160731.395,9728.024,50865.467,308588.751,37.665,1446.19
200511,157091.052,6445.689,43987.558,285769.853,12.755,1609.691
200512,176134.804,12518.307,47802.35,319705.089,2.793,1827.814
200601,167478.176,5689.891,36949.147,317439.932,12.935,2382.633
200602,157015.046,4525.106,41293.567,292303.871,19.533,1921.958
200603,159588.963,3622.57,48452.683,301873.284,33.404,2358.632
200604,139729.958,4348.614,50049.901,279530.671,52.074,2471.762
